,ICC1,ICC2,ICC3,ICC1k,ICC2k,ICC3k
shape_Elongation_original,0.9599968139386252,0.9600266666223416,0.9614616628690402,0.9795901780161631,0.979605719626997,0.9803522353454569
shape_Flatness_original,0.8755671695650897,0.8755193052755544,0.8748462691486891,0.9336558922260491,0.9336286785348996,0.933245870389075
shape_LeastAxisLength_original,0.962498709894605,0.9624945855646113,0.9622829249887344,0.9808910498048639,0.9808889080707459,0.980778982209468
shape_MajorAxisLength_original,0.9976282294344985,0.9976282116697319,0.9976132672504692,0.9988127067236265,0.9988126978201386,0.9988052078003987
shape_Maximum2DDiameterColumn_original,0.9963808397057391,0.996380802476933,0.9963603041835439,0.9981871393362028,0.9981871206542475,0.9981768342073177
shape_Maximum2DDiameterRow_original,0.9959896238045924,0.9959895756982698,0.9959656815577205,0.997990783044371,0.9979907588944561,0.9979787636232648
shape_Maximum2DDiameterSlice_original,0.993127415451935,0.9931273182674928,0.9930992316591989,0.9965518589053642,0.9965518099774572,0.9965376694591085
shape_Maximum3DDiameter_original,0.9962504924086109,0.9962504937460313,0.9962512044562357,0.9981217249009341,0.9981217255721587,0.9981220822632965
shape_MeshVolume_original,0.9976681282001266,0.9976681145260491,0.9976564140277109,0.9988327031067096,0.9988326962536997,0.9988268323041779
shape_MinorAxisLength_original,0.9950638653103502,0.995064647592245,0.995380144601283,0.9975258262276823,0.9975262193063713,0.9976847241808953
shape_Sphericity_original,0.9054266318006049,0.9054030415969215,0.9049515827440328,0.95036630294706,0.9503533077580286,0.9501045495765029
shape_SurfaceArea_original,0.9968811155397056,0.9968810829531621,0.9968602522809736,0.9984381221115152,0.9984381057673072,0.9984276577615084
shape_SurfaceVolumeRatio_original,0.8672878766416542,0.8672287489326015,0.866456677820235,0.9289278717981982,0.9288939552032407,0.9284508856987106
shape_VoxelVolume_original,0.997658018439782,0.9976580045811095,0.9976461974412413,0.9988276363929162,0.998827629447323,0.9988217119919565
firstorder_10Percentile_original,0.9963134902261349,0.9963139164388101,0.9965443456835225,0.9981533412503026,0.9981535551443905,0.9982691822879124
firstorder_90Percentile_original,0.9980148090841893,0.998014835532426,0.9980414288799874,0.9990064183174294,0.9990064315678392,0.99901975449973
firstorder_Energy_original,0.9998760626429476,0.9998760629555931,0.9998811075735681,0.9999380274811187,0.9999380276374608,0.9999405502527217
firstorder_Entropy_original,0.9844997907293107,0.9844990561354631,0.9844057492136254,0.9921893621036901,0.9921889890465744,0.9921416016897985
firstorder_InterquartileRange_original,0.9933820487323254,0.9933819027658323,0.9933380843481131,0.9966800386950995,0.99667996522644,0.9966579098125917
firstorder_Kurtosis_original,0.7140648485886713,0.7141779430208761,0.7147433403975573,0.8331830025878179,0.8332599843891219,0.8336446902098439
firstorder_Maximum_original,0.9947262202259984,0.994726154613281,0.9947014038405487,0.9973561385414565,0.9973561055613964,0.9973436644957238
firstorder_MeanAbsoluteDeviation_original,0.9953970229865459,0.9953969810403263,0.9953788395726316,0.9976932024251671,0.9976931813551838,0.9976840686411418
firstorder_Mean_original,0.9982497626577347,0.9982498251954273,0.9983211671796032,0.9991241148253973,0.9991241461490425,0.9991598783779254
firstorder_Median_original,0.9984074851262348,0.9984075320169887,0.9984663306374332,0.9992031080319614,0.9992031315147195,0.9992325768320162
firstorder_Minimum_original,0.9484037187108552,0.9484339478778319,0.9495465862925484,0.9735186908166634,0.9735346162602371,0.9741204369968922
firstorder_Range_original,0.9910423201670726,0.9910425423059149,0.9910916978834022,0.9955010098267646,0.995501121897822,0.9955259207167266
firstorder_RobustMeanAbsoluteDeviation_original,0.9944431132047098,0.9944430193367017,0.9944094238234663,0.9972138153459984,0.9972137681500941,0.9971968763736505
firstorder_RootMeanSquared_original,0.9983294606991426,0.998329511220441,0.9983898988498322,0.9991640320909482,0.9991640573938484,0.9991943007963088
firstorder_Skewness_original,0.9185688127160837,0.9185921305426545,0.9191185098507723,0.9575562853184111,0.9575689547760629,0.9578548746551786
firstorder_TotalEnergy_original,0.9998555623242057,0.9998555626839317,0.9998605430451997,0.9999277759461656,0.9999277761260547,0.9999302666602002
firstorder_Uniformity_original,0.9152335446965217,0.9152140096239537,0.9147923679443875,0.9557409301136118,0.9557302787312558,0.9555003281389268
firstorder_Variance_original,0.9984616454529575,0.998461644223486,0.9984600482607343,0.9992302306373791,0.9992302300216968,0.9992294308106855
glcm_Autocorrelation_original,0.991280822104384,0.991280759156302,0.991266446265241,0.9956213218151714,0.9956212900648964,0.9956140707582657
glcm_JointAverage_original,0.992468696368412,0.9924685230034082,0.9924228333335471,0.9962201144513262,0.9962200271122783,0.9961970087173838
glcm_ClusterProminence_original,0.9980833886044211,0.9980833801485294,0.998074573344494,0.9990407750714961,0.9990407708354353,0.9990363589621767
glcm_ClusterShade_original,0.9923392664695898,0.9923392764444643,0.9923418606579218,0.9961549051111235,0.9961549101369886,0.9961562121976651
glcm_ClusterTendency_original,0.9988297662746426,0.998829761940869,0.9988223639827807,0.9994145405751395,0.9994145384057146,0.9994108350804757
glcm_Contrast_original,0.9986377088167852,0.9986377139744564,0.998645275770296,0.9993183901328364,0.9993183927151886,0.9993221787547159
glcm_Correlation_original,0.9919594580978203,0.9919592522340449,0.9919084601300021,0.9959635012301616,0.9959633974656172,0.9959377953194346
glcm_DifferenceAverage_original,0.9967418038078426,0.996741827480637,0.9967563115730057,0.9983682436126975,0.9983682554877543,0.9983755211348555
glcm_DifferenceEntropy_original,0.9896642435824475,0.9896639535263165,0.9896084100372696,0.9948052760907324,0.9948051295519704,0.9947770677333758
glcm_DifferenceVariance_original,0.9984660359482469,0.9984660357980921,0.9984658403250295,0.9992324292611632,0.9992324291859704,0.9992323312993325
glcm_JointEnergy_original,0.8381269082607007,0.8380869691632267,0.8376736091962352,0.9119358456634155,0.9119122035283875,0.9116674528102063
glcm_JointEntropy_original,0.985248596734062,0.9852479174401049,0.9851571855536844,0.9925694931656389,0.9925691484522914,0.9925231036845197
glcm_Imc1_original,0.9942736327413993,0.9942736188098749,0.994268780950524,0.9971285950109419,0.997128588005119,0.9971261551581104
glcm_Imc2_original,0.9866797633410179,0.9866800162352611,0.986717483313003,0.993295227089553,0.9932953552379411,0.9933143404643284
glcm_Idm_original,0.9823204677911422,0.9823194222545174,0.9822032506884837,0.991081395517972,0.9910808633830697,0.991021733363955
glcm_Idmn_original,0.9804716438023804,0.9804705174829833,0.9803574310993086,0.9901395426393854,0.9901389683185806,0.9900813011872368
glcm_Id_original,0.9832083119379892,0.9832073672176617,0.9830967468348876,0.9915330689363631,0.9915325885432255,0.991476334580201
glcm_Idn_original,0.9751368564176015,0.9751351046003077,0.9749977110445898,0.9874119388225614,0.9874110407223389,0.9873405985153337
glcm_InverseVariance_original,0.9826438618150796,0.9826463405597099,0.9829270971701923,0.991245962767599,0.9912472239323372,0.9913900501666592
glcm_MaximumProbability_original,0.9003857050251303,0.9003690091614185,0.9000672974255064,0.9475820646769428,0.9475728185640399,0.9474057036243414
glcm_SumEntropy_original,0.9840714407566685,0.9840705994091548,0.98396665304658,0.9919717814005443,0.991971353944971,0.9919185400980409
gldm_DependenceEntropy_original,0.9832600188958912,0.9832593744833474,0.9831836783530586,0.9915593613824636,0.9915590337138764,0.9915205425344633
gldm_DependenceNonUniformity_original,0.9997967583883787,0.9997967598904114,0.9998115378660108,0.9998983688663516,0.9998983696175208,0.9999057600526746
gldm_DependenceNonUniformityNormalized_original,0.9974570117749538,0.9974569935387493,0.997442687873803,0.9987268871319607,0.9987268779906269,0.998719706882344
gldm_DependenceVariance_original,0.9840845744369299,0.9840845201001737,0.9840778006322854,0.991978454059809,0.9919784264538172,0.9919750125914213
gldm_GrayLevelNonUniformity_original,0.9992306680683117,0.9992306849334699,0.9992744967694757,0.9996151860093104,0.9996151944483807,0.9996371167482521
gldm_GrayLevelVariance_original,0.9984605597731862,0.9984605585583389,0.9984589826932897,0.9992296869611534,0.9992296863527937,0.9992288972052689
